Date,Price
Apr 93,101.58
Mar 93,100.25
Feb 93,96.70
Jan 93,92.42
Dec 92,90.33
Nov 92,89.62
Oct 92,92.47
Sep 92,97.22
Aug 92,97.47
Jul 92,95.59
Jun 92,91.56
May 92,94.24
Apr 92,91.84
Mar 92,83.35
Feb 92,86.16
Jan 92,87.82
Dec 91,92.50
Nov 91,88.80
Oct 91,97.09
Sep 91,95.70
Aug 91,96.98
Jul 91,96.82
Jun 91,91.54
May 91,96.15
Apr 91,97.83
Mar 91,95.40
Feb 91,95.48
Jan 91,88.08
Dec 90,90.34
Nov 90,91.61
Oct 90,89.97
Sep 90,93.06
Aug 90,95.89
Jul 90,98.24
Jun 90,89.83
May 90,91.94
Apr 90,86.62
Mar 90,90.07
Feb 90,89.81
Jan 90,88.24
Dec 89,91.62
Nov 89,85.84
Oct 89,82.92
